,x,y,x_,y_,f
0,-0.32398416218933884,-0.4541136097973679,-0.31228940926793947,-0.5160616862717174,0.4084675463913932
1,-0.535392265321389,-0.5262200165270396,-0.3388699764972292,-0.3017956724346394,0.3335812612494209
2,-0.0562683378488171,-0.5143821733716297,-0.447838038622933,-0.3569631642513015,0.7689419421147654
3,-0.3739195415202816,-0.4239630257445132,-0.26981951522018766,-0.3812258713750373,0.5992905732883701
4,-0.210049666916791,-0.2447671630866557,-0.46433607833704965,-0.4608461444667846,0.8221706501176927
5,-0.2865178369424517,-0.3705131089750679,-0.4059219732208356,-0.5248585475287282,0.0400749049304499
6,-0.3667960769909144,-0.49978805816389466,-0.3510556397985872,-0.3051731868500952,0.7790411754683895
7,-0.3342039775751193,-0.5562692232045067,-0.3422107465896786,-0.5254825894583136,0.6570654857162809
8,-0.09036102491426645,-0.3879819813042436,-0.4570235787138389,-0.43125821930086294,0.8431898450276969
9,-0.2676969592340012,-0.42148493904490214,-0.17807078188568864,-0.4734908778919338,0.6134117474885309
10,-0.30695797434820016,-0.371265792630111,-0.43360690085591036,-0.3103140218775577,0.29376588759867633
11,-0.2900271030883045,-0.27871804005066936,-0.4143667247693148,-0.26833850030244843,0.9982042847026031
12,-0.4052971506892853,-0.3903412565657033,-0.24068185409772347,-0.4429238903094451,0.6303638289938664
13,-0.15912088067552335,-0.3571708161377218,-0.24295971809842679,-0.3785194537418753,0.6652251431428406
14,-0.28965150693229247,-0.3164278058241121,-0.26740490294077257,-0.31255740407931853,0.7479459618295187
15,-0.24397047385156456,-0.3776674152832238,-0.33017987653493924,-0.42037771089148673,0.6257040659809927
16,-0.46357348568271123,-0.42402273008334085,-0.31009145745397976,-0.5036733080206224,0.09114152662119135
17,-0.24536491469102858,-0.4816381609438659,-0.20220837895784327,-0.3620042825896999,0.9782405560862107
18,-0.29685957492742876,-0.3138559301757115,-0.22848210848782535,-0.4918345248601845,0.747927042720803
19,-0.32194532668215825,-0.383695384713218,-0.2734897865276862,-0.4063692200419504,0.9751876019815772
20,-0.4662410876084375,-0.3137103543369953,-0.37557578125016566,-0.2121447959692756,0.8188792610919059
21,-0.24207548444617533,-0.5422849951127001,-0.4700687267546366,-0.40154864193262685,0.07077886197691967
22,-0.3543706494616228,-0.4640568495490916,-0.5186941982254807,-0.37878502844829687,0.04109879008025769
23,-0.17508726994534674,-0.38629872310740904,-0.30466696614319755,-0.23667712902936192,0.4076468811591956
24,-0.2661120508056273,-0.436633175714825,-0.17931717651183965,-0.31490554587627995,1.0010085309972818
25,-0.44494734378927725,-0.38119861063889393,-0.30051054040754804,-0.44305402346876516,0.7917648858097165
26,-0.2557303867838497,-0.3332566586119862,-0.3648225339462831,-0.30405547082961615,0.9271310869139242
27,-0.3164446329245337,-0.5293822932730681,-0.4783269895871686,-0.078580258021339,0.45980616269660335
28,-0.49062531159306827,-0.3858402335604317,-0.32140238549903716,-0.31946150885171126,0.7462491017570211
29,-0.3573093891951848,-0.4066606039137741,-0.28814316144373825,-0.40042927886504176,0.9146328454711288
30,-0.37283634509619434,-0.2674857173088906,-0.28528544223932845,-0.3751128340793603,0.6550512988758911
31,-0.24590410795813933,-0.4240192755324053,-0.38310458111342666,-0.4057980548167036,0.1400770708035934
32,-0.2001921576325481,-0.4382604884875108,-0.2526373437340479,-0.4252383039193703,1.008784517704295
33,-0.3096761687724824,-0.5813118336638806,-0.47610102533817267,-0.5751152396248234,0.3053840476159174
34,-0.19832666647518998,-0.4508374113019611,-0.325355957097829,-0.41730040061189344,0.9559465557130702
35,-0.3938549451755039,-0.39190396876622197,-0.40588043691620734,-0.252464592823107,0.6347359294523066
36,-0.28829506609401667,-0.21400722129114524,-0.338220147107788,-0.19043577463299188,0.1881095282475682
37,-0.30429675548603935,-0.6511218468418432,-0.46391370402151655,-0.20585142311952828,0.18460716115937428
38,-0.21871214446464382,-0.3541699969527724,-0.3866108326361662,-0.2539888269804165,0.8756131965377691
39,-0.3803938353705185,-0.2764175019290416,-0.24045234408624255,-0.35925321416473166,0.14084003135775575
40,-0.2926639586264927,-0.505457970500313,-0.437453172640777,-0.39819495923132153,0.354687661994476
41,-0.19486984666436774,-0.4520999596788571,-0.2298436115453043,-0.45783376069806236,0.03239629380167978
42,-0.24466982355543077,-0.44150177602823826,-0.41277619687388434,-0.2731629432808925,0.16473433479538202
43,-0.46200770961382226,-0.31892332570623083,-0.235956362479217,-0.4833037411318897,0.09215142594081584
44,-0.37127111384259265,-0.4288807234981624,-0.43365296931759867,-0.27732825596122307,0.9820690913735871
45,-0.2331261720325383,-0.177667561433757,-0.38523026443859376,-0.3405614630903147,0.754540070801104
46,-0.2963511177802528,-0.4645539926846036,-0.2815288938024449,-0.3796183231974331,0.7324248653304748
47,-0.3264988163533523,-0.335041016734729,-0.27470586489597726,-0.21845606439768267,0.7972933101079048
48,-0.45495380066689606,-0.5655375603126682,-0.2842176628086342,-0.4225993864525767,0.11055322577157767
49,-0.37147259105600183,-0.365908910066823,-0.17063115185991243,-0.346597329168017,0.807516755302534
50,-0.4015036330342018,-0.6089145730718298,-0.28174401472205807,-0.25215957622403207,0.53774482169267
51,-0.2260962055368243,-0.553670872898652,-0.4030844759859268,-0.36522874768611036,0.929334275812892
52,-0.16798217170459911,-0.31109442732472103,-0.3426329985768253,-0.43482731563722615,0.8978827515993177
53,-0.46716844414569925,-0.41718201243670344,-0.2115970223277069,-0.3552312596104175,0.774153198272797
54,-0.09897842566783649,-0.5168760569068636,-0.320923273906949,-0.1529846246295925,0.15877307762277623
